N,P,K,temperature,humidity,ph,rainfall,label
19.98,17.58,26.2,30.67,66.69,7.54,221.34,mothbeans
34.66,23.68,24.42,26.21,62.83,6.79,359.71,mungbean
101.42,67.05,79.12,28.39,80.68,6.03,1063.56,papaya
31.85,36.99,26.0,17.17,66.98,6.88,283.97,lentil
25.44,24.74,16.31,29.57,51.43,7.5,274.32,mothbeans
53.38,41.04,34.88,20.03,62.74,7.27,493.85,wheat
72.63,47.07,56.85,15.59,68.27,6.2,689.95,grapes
38.64,29.45,21.31,16.57,50.31,6.75,326.54,lentil
94.31,56.09,62.4,29.78,52.37,7.01,465.86,watermelon
88.73,30.93,48.18,19.23,66.51,6.15,1256.56,apple
23.49,31.48,24.82,23.8,52.41,6.38,423.43,lentil
73.05,42.83,43.36,21.91,60.95,6.37,462.54,wheat
118.67,50.89,67.98,25.12,61.74,6.11,560.59,muskmelon
125.26,76.5,71.7,28.1,84.03,7.34,1990.49,banana
29.18,32.66,21.37,33.98,73.19,6.21,355.85,mungbean
27.75,20.5,26.47,15.05,50.29,6.94,355.9,lentil
56.18,43.05,38.96,16.77,60.07,6.14,578.47,wheat
28.56,17.12,32.72,32.36,69.68,6.69,464.14,blackgram
134.15,79.23,86.55,31.8,83.78,7.27,1643.54,banana
131.74,61.71,87.88,29.35,84.15,6.46,1609.66,banana
74.04,38.39,41.69,15.89,70.44,6.16,1332.35,apple
20.97,22.66,27.42,21.62,75.02,7.15,502.13,pigeonpeas
77.55,49.28,44.13,16.62,69.5,6.23,1250.31,apple
22.04,28.83,15.67,25.91,62.54,7.45,510.2,pigeonpeas
91.76,53.52,58.65,23.84,71.21,6.35,637.98,grapes
40.91,36.95,23.77,32.33,74.83,6.51,1005.56,jute
62.79,43.56,40.05,18.19,71.8,6.92,758.82,grapes
38.04,35.07,28.86,15.62,62.05,6.73,319.69,lentil
91.73,40.29,54.76,24.72,70.43,6.51,636.06,grapes
21.23,10.89,28.52,31.62,55.92,6.76,319.4,mothbeans
25.97,32.61,16.71,18.07,52.94,6.86,382.95,lentil
84.6,53.17,56.8,29.51,54.68,6.96,611.54,muskmelon
17.22,17.29,25.49,27.26,62.89,7.74,338.63,mothbeans
96.6,61.93,67.66,28.32,53.67,6.2,481.06,muskmelon
112.85,59.16,74.97,28.94,66.25,6.44,599.79,muskmelon
27.42,11.88,20.42,32.38,59.02,7.24,310.75,mothbeans
82.38,40.97,35.6,22.3,66.01,6.51,899.99,maize
138.47,66.64,70.25,27.28,76.54,6.79,1227.2,sugarcane
42.63,37.2,30.53,31.23,84.63,6.23,1482.86,jute
116.32,54.05,51.0,22.69,79.82,7.47,725.29,orange
156.12,72.06,50.96,23.51,77.55,6.42,1113.82,sugarcane
74.97,43.89,50.98,24.79,78.32,6.87,751.68,grapes
96.05,54.74,88.76,32.01,73.86,6.31,1515.93,coconut
70.26,27.18,18.48,31.85,77.68,7.04,1270.23,jute
95.16,55.77,37.55,26.26,88.77,6.12,1870.4,rice
102.79,50.94,60.74,28.7,64.93,6.49,551.48,muskmelon
27.8,27.19,25.27,33.09,55.37,6.93,289.92,mothbeans
31.72,20.36,33.14,24.59,61.62,6.67,366.44,pigeonpeas
39.36,27.94,33.55,20.86,70.58,6.22,463.77,kidneybeans
104.39,68.48,57.46,31.33,51.91,6.59,405.32,muskmelon
84.06,30.28,29.78,19.8,67.7,6.44,1151.34,apple
81.75,53.3,47.33,18.51,48.89,6.57,751.28,pomegranate
159.53,69.93,71.61,28.68,78.87,7.21,1120.79,sugarcane
30.68,30.73,21.43,33.35,64.68,6.3,312.81,blackgram
28.08,24.41,26.22,27.63,60.35,7.12,276.79,mungbean
59.41,25.91,27.93,15.24,67.53,6.18,487.52,kidneybeans
38.09,23.26,15.77,28.08,61.93,7.78,406.71,chickpea
102.77,44.15,41.35,30.13,78.49,7.1,1002.92,mango
86.18,35.79,44.51,15.79,67.59,6.53,478.16,grapes
125.39,53.24,71.08,31.02,78.85,6.7,1993.45,banana
25.76,39.19,27.27,18.61,58.02,7.1,409.93,lentil
82.7,43.17,56.23,21.77,59.02,6.57,1166.29,orange
86.96,54.0,57.88,24.94,56.15,7.07,799.88,pomegranate
84.9,51.83,56.01,14.68,57.02,7.41,700.09,orange
23.55,37.3,27.95,23.94,54.05,6.18,283.9,lentil
102.53,43.78,75.04,29.22,84.21,6.55,1927.29,coconut
96.32,58.86,70.47,30.65,56.93,6.6,464.11,watermelon
137.04,50.8,54.6,27.62,75.06,6.61,1251.59,sugarcane
34.89,34.62,35.88,27.72,61.73,6.15,400.5,blackgram
75.75,31.26,50.26,17.54,68.05,6.63,999.96,apple
106.6,54.25,47.84,31.72,63.63,7.47,820.81,mango
37.35,22.2,26.36,32.3,70.43,6.71,360.04,mungbean
33.55,33.23,16.06,23.42,67.97,6.32,371.04,chickpea
105.13,58.63,60.81,20.18,45.71,7.34,817.41,pomegranate
100.75,48.68,25.72,18.72,67.83,6.04,886.22,maize
74.64,40.45,34.47,22.19,67.55,6.28,763.25,maize
53.06,25.6,42.48,18.33,77.45,6.52,431.03,kidneybeans
67.84,33.29,46.93,22.01,54.12,6.15,605.18,wheat
88.63,48.86,74.98,27.82,81.15,6.24,1779.9,coconut
102.07,58.13,56.1,25.19,62.65,6.77,923.35,mango
87.54,47.33,29.64,26.22,69.26,7.0,937.07,maize
113.25,57.13,74.46,29.67,74.55,5.6,1741.58,coconut
29.02,33.48,26.84,27.23,73.52,6.44,438.81,blackgram
92.47,49.61,97.08,28.86,78.25,6.33,1065.83,coconut
73.67,37.29,29.05,31.04,78.32,7.13,1489.97,jute
109.29,70.24,51.05,23.18,60.01,7.0,1125.07,papaya
95.0,44.97,66.81,32.9,59.42,6.46,566.02,muskmelon
159.53,74.98,75.35,23.34,80.88,6.1,1043.52,sugarcane
66.22,30.37,39.2,16.55,51.64,7.52,476.84,wheat
112.46,46.12,39.53,20.61,80.84,6.96,1891.81,rice
111.4,61.32,54.0,31.69,58.76,6.93,426.68,watermelon
70.28,38.71,47.57,15.15,72.99,6.67,1865.74,coffee
91.07,41.87,33.7,22.71,67.74,5.93,940.43,maize
41.55,41.44,35.43,16.8,67.45,6.95,509.2,kidneybeans
106.34,57.22,60.1,27.8,82.42,7.19,1404.84,banana
26.02,21.99,35.3,23.8,74.72,6.67,461.86,pigeonpeas
115.44,48.28,61.27,27.91,80.48,6.16,1745.86,coconut
72.53,52.38,40.78,15.8,64.39,6.21,566.79,grapes
62.09,41.15,51.7,15.03,60.45,6.85,672.82,grapes
33.14,31.01,24.78,24.65,73.18,6.41,391.15,pigeonpeas
89.96,64.89,79.46,29.3,49.97,6.09,448.7,watermelon
118.04,58.3,59.1,29.35,66.54,7.28,915.89,mango
134.08,69.18,53.59,31.43,66.25,6.3,971.6,papaya
96.85,39.7,41.48,22.92,75.71,6.12,803.06,grapes
28.44,32.67,20.01,27.9,69.27,6.94,274.66,mungbean
25.86,26.16,30.27,31.8,79.85,6.21,324.09,mungbean
87.32,49.5,61.48,26.02,67.33,6.69,437.95,watermelon
108.77,57.03,61.65,29.61,65.02,6.71,793.1,papaya
82.17,41.33,39.32,15.62,38.87,6.71,580.8,pomegranate
109.19,60.19,45.43,28.94,69.54,5.59,845.35,mango
92.67,46.3,63.66,27.74,71.46,6.65,1947.86,coconut
32.76,20.34,23.37,18.7,55.02,7.35,456.0,lentil
56.95,30.64,33.87,24.46,72.2,6.71,498.8,kidneybeans
23.89,35.15,32.91,22.04,67.88,6.93,390.39,lentil
122.74,67.61,73.9,29.24,80.96,6.05,1117.53,papaya
148.33,76.33,56.59,26.19,82.55,7.01,1208.08,sugarcane
81.24,46.13,42.07,17.96,66.71,6.53,578.3,pomegranate
29.48,40.17,24.8,21.03,51.64,7.26,407.69,lentil
117.3,66.99,56.74,32.3,62.87,6.97,478.67,muskmelon
75.07,48.87,43.32,24.52,63.14,6.39,1632.32,coffee
86.39,49.91,51.95,22.57,65.37,6.9,1209.78,coffee
112.3,61.35,85.22,30.5,78.85,7.37,1635.74,banana
111.12,62.91,72.0,30.86,59.62,6.88,597.86,muskmelon
97.29,40.79,44.69,24.65,55.67,7.27,586.66,pomegranate
36.37,31.8,20.58,28.9,66.93,7.02,226.12,mungbean
43.43,24.03,23.0,29.37,82.13,7.39,1487.28,jute
130.24,56.69,73.91,27.72,64.84,6.26,1068.65,papaya
52.55,25.03,31.86,15.33,72.76,6.67,451.78,kidneybeans
108.4,40.93,46.28,24.11,58.45,7.37,1001.68,orange
65.96,36.53,45.99,19.64,54.62,6.91,624.28,wheat
28.3,20.57,24.01,25.53,80.3,6.75,394.22,pigeonpeas
84.56,66.78,59.7,25.75,59.29,6.6,396.21,muskmelon
41.82,35.55,33.87,22.75,77.66,5.97,402.83,kidneybeans
109.67,68.13,51.79,24.25,67.06,6.1,906.38,cotton
108.91,55.6,57.47,33.46,61.76,6.27,520.36,muskmelon
118.58,53.05,51.61,27.3,67.76,6.21,1065.7,mango
26.02,11.78,26.17,33.98,66.79,7.2,326.69,mothbeans
98.65,51.42,29.15,25.51,62.67,6.42,619.77,maize
24.5,21.89,18.77,26.06,78.92,7.02,333.39,blackgram
138.79,79.41,70.25,24.19,79.33,6.05,1140.29,papaya
100.33,30.22,33.07,21.37,76.59,6.29,1143.87,apple
20.31,28.31,27.87,26.36,66.79,7.2,360.29,mungbean
66.9,44.61,42.53,21.66,75.03,6.13,632.69,grapes
88.28,56.97,54.3,25.93,66.39,7.36,1093.67,mango
104.63,51.15,59.35,31.68,55.93,6.19,523.6,muskmelon
30.87,35.62,30.58,27.6,64.7,7.75,504.16,chickpea
137.66,71.28,97.82,29.45,80.88,7.47,1695.94,banana
24.9,27.2,24.71,20.83,70.46,6.98,390.49,chickpea
30.85,19.73,10.0,32.61,52.62,7.65,241.14,mothbeans
134.36,53.92,55.36,25.6,79.83,6.41,990.33,sugarcane
114.1,66.57,94.99,31.07,78.72,6.31,1827.33,banana
27.07,30.05,30.09,25.31,61.55,7.42,438.64,pigeonpeas
73.17,48.45,29.93,17.11,79.38,6.63,1144.08,apple
79.03,52.59,38.99,25.37,64.68,6.32,984.59,maize
94.69,53.88,47.28,29.08,45.24,6.95,706.02,pomegranate
102.57,43.97,88.74,30.65,72.02,5.67,1159.65,coconut
99.58,42.27,97.86,30.93,80.98,5.64,1804.78,coconut
82.19,41.4,56.58,26.45,78.27,7.29,996.12,orange
75.4,40.04,31.76,23.6,58.49,6.75,534.05,wheat
93.12,45.75,73.52,26.65,58.38,6.43,634.49,watermelon
23.83,18.6,23.9,33.74,77.76,6.03,485.42,blackgram
116.31,43.56,45.99,17.79,67.3,6.23,804.17,orange
80.95,42.23,48.56,21.21,70.21,6.84,1985.48,coffee
116.53,52.68,35.48,20.87,86.03,5.47,1562.65,rice
87.76,42.1,40.37,16.26,64.96,6.4,1648.19,coffee
19.21,21.43,16.5,30.06,55.96,6.58,367.44,mothbeans
121.08,59.32,98.39,30.28,85.41,6.11,1418.33,banana
83.7,35.36,30.62,18.4,76.13,6.06,808.38,maize
143.8,59.94,59.6,24.13,80.98,6.46,1351.26,sugarcane
67.43,43.47,30.59,15.7,54.28,6.21,612.98,wheat
132.54,68.85,56.49,22.25,83.57,6.17,1286.75,sugarcane
55.74,25.19,36.01,18.42,74.97,6.39,454.2,kidneybeans
31.92,22.44,27.97,16.67,66.06,6.53,399.52,lentil
92.63,49.54,38.26,21.41,66.59,6.62,949.38,maize
127.61,60.5,60.69,21.95,79.72,6.7,1372.59,sugarcane
74.7,34.36,46.53,16.11,72.53,6.12,1221.95,coffee
71.47,36.42,38.25,20.44,74.9,6.56,748.27,maize
86.24,45.52,31.86,20.13,73.98,6.24,1498.13,coffee
30.55,29.03,26.4,21.82,68.3,6.53,413.86,pigeonpeas
123.59,71.33,72.08,28.39,67.51,6.05,1018.68,papaya
17.14,34.51,18.9,23.5,70.61,6.13,395.93,lentil
100.93,56.41,40.34,24.18,68.34,6.54,849.8,maize
130.51,51.72,50.74,22.36,83.22,6.35,1490.65,sugarcane
39.05,19.4,18.61,25.5,70.53,6.68,496.26,pigeonpeas
113.98,55.2,58.4,14.85,63.17,7.46,735.61,pomegranate
115.16,58.2,54.13,16.4,70.26,6.62,912.1,orange
64.37,44.34,55.3,17.2,65.91,6.25,757.35,grapes
23.69,30.88,26.86,20.77,54.1,6.51,389.46,lentil
110.84,52.45,43.34,20.6,83.31,6.94,1950.06,rice
53.93,34.91,33.66,23.09,75.34,6.96,491.13,kidneybeans
66.36,36.4,50.93,20.39,65.08,6.9,810.86,grapes
118.95,80.12,56.8,27.2,81.53,6.98,1171.83,sugarcane
136.33,54.64,91.64,28.47,84.97,6.67,1614.34,banana
95.71,50.81,42.67,15.46,77.88,6.36,749.1,orange
28.74,33.63,33.81,29.9,72.18,6.24,508.31,chickpea
83.46,49.39,38.29,27.26,80.56,6.12,1939.63,rice
79.92,52.98,24.49,21.84,77.72,6.77,673.39,maize
46.99,30.77,20.88,21.57,70.66,6.43,573.45,kidneybeans
45.65,35.62,24.41,24.91,69.74,6.18,479.65,kidneybeans
106.84,44.52,50.78,17.58,54.15,6.63,518.94,pomegranate
104.45,59.19,78.54,23.95,55.5,6.92,558.76,watermelon
87.3,62.91,61.87,28.81,65.08,6.95,435.36,muskmelon
109.94,53.5,46.88,20.98,56.32,7.45,691.85,orange
82.1,38.76,58.07,18.09,64.16,6.47,675.75,grapes
31.63,21.14,16.82,20.29,72.15,6.57,435.81,pigeonpeas
60.38,35.93,34.01,17.6,75.78,6.3,1059.53,apple
117.16,59.34,78.39,29.47,59.96,6.91,586.69,watermelon
120.96,59.76,74.02,24.68,84.44,6.89,1153.69,sugarcane
149.64,78.85,56.31,26.91,83.24,7.28,1281.18,sugarcane
82.56,51.34,20.15,26.47,69.35,6.54,874.78,maize
116.22,44.14,57.31,19.98,50.52,7.22,677.7,pomegranate
150.04,77.51,63.8,23.59,79.2,7.1,1000.37,sugarcane
93.56,40.78,33.32,15.29,63.22,6.88,1313.69,apple
91.16,54.87,58.15,25.6,77.96,6.1,1204.14,mango
90.87,36.29,30.76,22.55,77.15,5.92,793.39,maize
34.1,39.83,28.29,25.66,66.0,7.13,386.04,chickpea
34.26,24.07,14.56,22.26,53.65,6.62,315.1,lentil
32.41,25.27,25.41,27.37,60.15,7.58,228.63,mothbeans
83.64,44.62,59.33,25.52,64.17,6.67,1002.21,mango
119.2,49.27,77.92,27.17,84.59,5.72,1599.98,coconut
110.69,48.64,49.19,26.53,60.77,6.69,805.34,orange
134.93,72.44,52.96,23.43,77.71,6.62,1486.86,sugarcane
26.61,26.11,17.46,29.03,74.3,6.35,527.3,chickpea
79.17,54.76,42.65,24.63,74.67,6.64,736.41,grapes
89.83,31.79,38.52,19.25,65.65,6.6,1394.74,apple
20.17,39.09,28.6,19.21,64.78,7.13,456.72,lentil
84.54,37.52,39.82,25.03,61.93,6.67,1523.37,coffee
73.81,31.65,40.9,20.75,63.86,6.75,1456.17,apple
80.9,55.29,58.58,27.17,65.32,6.36,1126.52,orange
126.47,62.61,69.84,30.8,81.78,6.85,1690.45,banana
68.92,47.98,59.83,16.42,79.8,6.94,770.04,grapes
30.22,39.91,28.6,17.86,67.42,7.23,280.99,lentil
116.27,46.18,47.29,28.62,77.25,7.08,1125.33,orange
36.43,25.04,27.62,15.46,64.79,6.9,445.3,lentil
67.29,48.49,42.82,17.35,50.17,7.32,457.31,wheat
98.95,48.52,24.31,23.87,68.35,6.63,630.27,maize
33.19,25.23,16.46,26.58,77.58,7.07,463.99,pigeonpeas
142.46,72.19,65.23,21.16,75.07,6.52,1468.41,sugarcane
33.95,26.32,15.28,22.36,64.8,7.18,335.69,chickpea
108.65,68.35,59.5,31.67,71.9,6.47,1048.12,papaya
150.02,75.01,72.57,22.2,75.9,7.05,1172.61,sugarcane
91.04,49.25,41.61,17.51,65.37,6.56,514.02,grapes
45.36,39.4,26.67,19.4,68.24,6.71,592.21,kidneybeans
105.61,68.67,56.03,30.81,75.09,6.16,1173.45,papaya
83.66,48.57,32.82,20.64,78.01,6.41,1259.86,apple
26.28,17.53,23.11,30.51,66.14,7.56,302.86,mothbeans
100.33,49.75,38.88,26.87,61.41,6.82,1022.14,orange
55.02,45.5,28.56,19.37,77.62,6.83,521.8,kidneybeans
22.24,16.92,21.48,28.37,77.4,6.28,446.4,pigeonpeas
59.18,28.57,29.82,29.9,82.89,7.13,1845.37,jute
113.32,64.21,49.68,24.22,61.35,5.76,750.51,cotton
41.72,20.91,28.25,28.94,73.94,6.97,1232.13,jute
136.54,68.17,55.44,25.61,75.85,6.08,1061.2,cotton
91.9,38.7,48.98,15.64,68.34,6.73,645.89,grapes
26.9,27.19,33.28,19.82,78.75,6.92,457.36,pigeonpeas
108.39,51.17,88.22,30.96,80.33,7.4,1641.63,banana
100.3,59.51,75.44,31.08,58.05,6.53,563.77,watermelon
138.91,39.85,60.24,27.22,74.55,6.49,609.29,cotton
80.82,35.91,30.69,19.92,65.74,6.76,1207.32,coffee
94.62,48.35,40.44,24.6,80.38,6.04,1809.05,rice
119.35,39.05,45.68,19.69,88.84,6.31,2019.98,rice
75.71,38.43,47.91,16.76,76.4,6.64,1551.32,coffee
119.07,53.63,38.99,20.81,84.46,6.21,1600.66,rice
81.04,44.28,73.25,25.39,54.81,6.42,474.93,muskmelon
20.37,33.85,26.9,27.19,69.8,7.21,424.45,pigeonpeas
33.36,29.78,33.89,28.65,70.12,7.17,524.6,chickpea
99.38,50.41,97.05,29.67,74.61,6.27,1078.51,coconut
75.18,49.81,36.47,17.56,61.76,6.63,427.05,wheat
150.54,59.04,70.67,23.2,84.77,6.94,1185.07,sugarcane
121.34,63.28,73.17,23.56,72.65,6.56,823.73,papaya
102.5,63.11,45.13,29.17,78.65,6.16,872.93,cotton
54.86,29.38,34.77,24.6,70.66,6.58,373.33,kidneybeans
108.11,40.09,45.01,22.86,78.32,6.56,824.74,orange
33.99,20.12,15.53,16.59,55.29,6.64,408.05,lentil
73.76,36.98,34.71,15.78,64.67,6.81,1766.26,coffee
34.98,19.7,24.56,20.2,63.09,6.17,402.45,pigeonpeas
133.92,55.77,58.59,23.08,76.16,6.66,1469.59,sugarcane
141.64,52.19,53.36,23.02,76.12,6.05,1133.02,papaya
40.19,28.19,30.03,26.11,63.09,6.94,304.91,mungbean
116.07,59.29,49.91,31.6,58.39,6.58,536.77,watermelon
146.58,61.74,59.63,24.79,77.92,6.28,1261.29,sugarcane
17.86,12.09,24.78,30.6,64.7,7.87,258.38,mothbeans
38.08,14.7,27.89,25.8,78.28,6.77,460.69,pigeonpeas
83.18,53.6,32.48,25.17,62.45,6.84,963.92,maize
92.67,52.08,37.86,20.91,85.25,6.01,1768.23,rice
137.89,52.95,57.94,24.08,64.65,6.27,984.04,cotton
121.1,60.94,79.38,27.0,80.9,6.94,1102.05,sugarcane
98.73,59.82,44.9,20.43,80.89,6.11,1903.31,rice
94.71,34.67,41.69,20.39,76.88,6.11,1095.72,apple
26.04,32.49,21.89,19.83,76.1,7.44,467.71,pigeonpeas
52.95,39.44,15.0,24.74,73.29,6.93,1116.03,jute
64.15,24.96,26.72,31.82,89.68,6.33,1923.11,jute
41.53,30.55,20.46,24.49,59.07,6.48,270.31,lentil
41.79,35.71,28.34,31.11,90.49,6.48,1391.75,jute
84.09,60.16,40.27,27.79,60.21,7.26,925.85,orange
60.81,31.17,49.1,23.44,68.17,7.47,480.22,wheat
85.0,48.45,33.53,19.6,71.57,6.56,1519.73,coffee
35.41,20.42,16.07,28.26,80.07,6.7,389.54,blackgram
32.4,20.7,20.11,29.67,64.08,6.9,317.06,blackgram
134.85,50.85,44.84,21.37,68.79,7.19,801.15,cotton
87.81,40.6,64.14,33.79,69.87,6.64,463.84,muskmelon
115.0,52.37,40.88,21.72,73.02,7.21,910.37,orange
25.78,22.65,34.66,18.28,67.75,6.01,281.12,lentil
62.8,48.73,45.21,21.33,65.27,6.24,1971.48,coffee
103.52,57.74,41.92,22.62,86.56,6.17,1785.43,rice
21.09,13.24,12.81,32.26,67.14,7.09,212.3,mothbeans
36.23,24.2,34.33,29.32,80.81,6.64,327.52,blackgram
97.31,56.85,54.3,30.06,59.18,6.42,692.06,orange
30.27,21.23,31.51,27.01,69.83,6.24,316.91,mungbean
132.06,58.88,41.7,21.8,77.69,7.31,1091.58,cotton
35.7,36.72,16.12,25.03,74.23,7.07,374.88,chickpea
38.22,30.23,20.36,23.94,59.2,6.91,306.45,lentil
74.96,39.13,24.52,25.48,71.54,6.43,663.08,maize
108.74,66.18,83.97,30.6,81.62,6.87,1528.89,banana
29.52,27.77,20.57,21.05,79.5,7.12,444.89,pigeonpeas
146.25,62.86,69.4,29.02,77.1,6.03,1412.77,sugarcane
97.33,53.05,57.08,15.46,69.99,6.67,633.88,pomegranate
138.57,57.69,50.64,26.95,77.99,7.27,1300.36,sugarcane
117.73,41.13,41.1,28.95,65.75,6.0,985.45,mango
120.71,56.92,62.94,27.89,77.27,6.81,1947.78,banana
48.7,31.95,24.55,22.51,71.27,6.87,482.64,kidneybeans
118.36,46.2,56.91,25.78,57.22,6.09,642.59,orange
57.31,52.41,56.47,23.23,61.73,6.75,791.25,grapes
88.65,41.58,37.12,23.54,72.92,6.77,736.67,maize
28.23,28.12,34.36,28.33,78.59,6.2,330.85,pigeonpeas
131.27,68.34,56.19,20.89,69.15,5.92,767.13,cotton
75.01,48.13,47.87,15.0,74.8,6.5,2000.83,coffee
157.25,68.67,65.15,22.18,80.65,6.18,1196.15,sugarcane
37.99,20.56,24.51,33.97,61.38,7.08,282.05,mungbean
27.16,29.65,29.97,16.49,55.25,7.01,416.54,lentil
97.27,36.51,31.43,20.25,79.88,6.42,928.86,maize
22.27,16.3,22.55,34.26,74.35,6.89,386.93,blackgram
90.03,45.82,51.03,16.69,65.62,6.19,542.09,grapes
49.06,25.35,27.41,16.23,63.92,6.29,395.9,kidneybeans
22.65,29.62,19.96,27.53,71.91,7.57,491.42,chickpea
87.85,43.52,37.51,24.19,81.35,6.03,1946.36,rice
20.62,27.38,27.71,28.33,71.16,6.71,388.79,blackgram
29.23,19.56,16.18,26.92,62.52,6.9,308.4,blackgram
33.82,34.64,22.19,31.42,78.87,7.06,322.47,mungbean
71.44,31.02,42.23,22.44,67.01,6.52,617.1,wheat
118.68,65.86,52.89,28.36,73.08,6.71,965.71,papaya
81.71,47.97,73.66,29.96,81.19,5.98,1827.1,coconut
80.38,46.8,28.61,26.59,72.12,6.19,604.72,maize
16.85,12.41,19.22,33.31,67.3,6.89,290.59,mothbeans
99.15,58.83,77.43,30.18,59.05,6.59,628.08,watermelon
24.64,24.15,32.42,33.43,62.84,6.24,406.41,mungbean
126.5,77.18,63.69,30.81,71.34,6.72,1108.98,papaya
158.19,78.04,76.75,24.66,81.51,6.74,1227.17,sugarcane
112.18,53.68,74.34,30.54,52.27,6.15,529.99,muskmelon
40.15,19.1,21.93,27.75,74.72,6.74,361.32,blackgram
33.55,28.11,28.62,23.46,61.28,6.86,465.79,chickpea
75.61,33.14,37.95,16.12,76.16,6.25,1235.42,coffee
82.16,42.09,26.43,24.42,67.59,6.31,725.22,maize
112.34,43.69,98.01,27.04,74.03,6.64,1436.99,coconut
33.4,34.79,25.67,26.04,61.66,7.54,280.67,chickpea
95.84,30.97,33.65,23.56,69.07,6.54,1706.26,coffee
79.67,39.51,92.03,25.25,78.0,6.42,1424.89,coconut
29.61,36.23,24.45,25.15,78.93,7.46,429.55,chickpea
75.82,49.91,46.46,22.46,61.99,6.14,1246.85,apple
37.83,23.2,19.95,27.37,70.36,6.1,438.4,blackgram
103.44,43.57,56.77,19.98,67.61,7.16,596.28,pomegranate
110.52,56.6,35.68,23.78,84.3,5.83,1562.99,rice
109.0,55.88,67.27,29.92,82.63,6.35,1632.41,coconut
75.26,44.56,52.23,23.02,59.9,6.57,595.49,grapes
26.5,16.93,18.33,32.89,68.57,6.6,264.9,mothbeans
83.94,60.42,51.45,25.03,77.4,6.51,1009.46,orange
89.27,56.57,90.85,25.24,75.76,5.95,1290.11,coconut
40.51,18.94,27.75,25.37,61.03,6.56,339.55,blackgram
118.8,50.5,42.81,26.62,88.1,5.83,1731.33,rice
147.71,56.72,71.25,24.83,79.59,6.98,1464.81,sugarcane
90.78,46.51,40.16,19.61,67.29,6.12,683.81,grapes
32.67,11.71,14.0,30.07,53.79,7.25,278.49,mothbeans
84.17,57.49,54.25,29.62,61.48,6.94,1061.33,mango
101.94,72.69,52.86,28.02,67.88,6.77,876.88,papaya
72.05,32.61,45.21,20.57,70.17,6.54,611.97,wheat
21.55,32.47,17.46,28.93,70.22,7.1,412.83,mungbean
74.73,30.64,47.01,21.97,66.27,6.66,1532.24,coffee
82.75,61.27,54.38,28.11,51.79,6.28,544.25,watermelon
30.0,20.35,23.07,27.87,58.53,7.63,301.56,mothbeans
81.58,44.11,21.65,19.61,72.86,6.0,804.09,maize
62.2,41.67,48.34,18.95,65.45,6.13,1329.28,coffee
79.41,39.66,54.36,20.07,75.74,6.76,579.95,grapes
126.2,75.79,94.94,28.5,75.62,6.62,1684.22,banana
120.4,68.94,49.41,29.81,70.86,7.22,680.49,cotton
101.56,78.6,83.25,31.33,81.22,6.54,1628.46,banana
81.44,56.27,65.61,25.88,52.78,6.15,421.01,watermelon
92.44,57.56,51.87,21.2,77.68,6.05,691.49,orange
116.6,62.24,94.13,27.71,75.23,6.94,1310.57,banana
40.93,33.68,33.54,21.64,62.58,7.02,438.39,pigeonpeas
37.01,22.34,36.1,25.23,60.49,6.86,319.92,blackgram
96.59,54.32,54.74,30.15,58.28,6.76,808.1,orange
107.04,58.49,54.3,28.32,60.83,6.67,1129.21,papaya
97.78,61.76,58.23,27.29,56.87,6.04,471.42,muskmelon
31.85,25.73,25.16,26.11,65.88,6.06,370.02,blackgram
139.84,59.06,46.57,26.51,53.25,7.71,944.02,cotton
99.63,46.04,35.33,22.12,61.42,6.48,1005.92,maize
32.42,21.6,26.53,25.75,70.8,6.87,375.12,blackgram
49.91,32.38,49.38,24.08,61.94,6.89,583.59,wheat
87.82,54.1,38.56,26.5,81.63,6.01,1576.53,rice
114.37,51.45,60.53,26.12,57.94,6.32,537.67,muskmelon
106.29,50.19,61.68,31.17,67.44,6.61,606.0,watermelon
116.74,53.72,68.18,22.95,84.18,6.83,954.35,papaya
31.05,16.54,27.69,31.88,66.06,7.31,199.13,mothbeans
82.44,39.56,56.91,22.16,53.59,6.35,1111.39,orange
74.88,38.29,37.83,18.7,70.71,6.05,663.57,wheat
73.13,44.44,24.89,24.6,79.88,6.13,873.19,maize
92.12,51.1,71.92,26.07,77.79,5.98,1271.21,coconut
91.95,50.99,55.38,30.1,70.57,7.21,992.41,mango
88.46,46.49,48.96,18.22,71.76,6.85,609.09,grapes
35.01,26.23,31.68,22.2,56.9,6.65,328.56,lentil
102.78,34.88,30.31,25.05,65.86,6.66,1082.66,apple
119.14,54.8,86.65,27.33,73.12,6.63,1492.03,coconut
115.11,76.38,67.01,24.89,76.68,6.63,1178.98,papaya
61.56,48.37,30.41,15.8,54.55,6.07,457.37,wheat
27.68,24.41,26.65,34.51,56.31,7.72,202.47,mothbeans
35.2,33.38,29.82,34.81,73.49,6.31,337.96,mungbean
89.31,43.39,30.31,15.51,79.42,6.26,1225.19,coffee
80.75,50.93,49.31,28.25,78.85,7.33,851.4,mango
83.51,48.4,36.67,26.76,64.05,6.25,676.24,maize
135.59,59.16,70.47,25.13,83.98,6.07,1015.1,papaya
132.49,50.56,44.13,27.35,74.59,6.0,702.88,cotton
